"feature_id_full","feature_id","feature_mz","feature_rt","sirius_molecularformula"
"100_261.16_2.9",100,261.159931946008,2.8713669,"C15H20N2O2"
"1061_253.12_2",1061,253.117907694129,1.96923951232877,"C12H16N2O4"
"1065_324.29_8.5",1065,324.289708196279,8.45008633675214,"C20H37NO2"
"1069_256.08_0.6",1069,256.081557228877,0.647622926785714,"C11H13NO6"
"107_206.07_4.4",107,206.066875117014,4.40490339268293,"C8H15NOS2"
"1075_165.08_0.7",1075,165.076191250928,0.650918970789474,"C6H14O6"
"1079_169.04_0.7",1079,169.035231928599,0.71277966959596,"C5H4N4O3"
"108_327.2_2.5",108,327.201207230802,2.48347954065041,"C14H30O8"
"1089_606.41_8.7",1089,606.414116910899,8.72653491304348,"C31H60NO8P"
"1153_181.05_2.7",1153,181.049579567816,2.67387947361111,"C9H8O4"
"1163_326.31_9.9",1163,326.305325595637,9.92547142727273,"C20H41NO3"
"1174_253.15_1.5",1174,253.154213691371,1.54004944516129,"C13H20N2O3"
"1198_326.31_9.1",1198,326.305419013977,9.07401495238095,"C20H39NO2"
"1215_204.12_1.5",1215,204.123095635276,1.46682972909091,"C9H17NO4"
"125_235.14_2",125,235.144155275142,2.028503434,"C13H18N2O2"
"127_510.36_8.3",127,510.35582641803,8.310944083,"C25H52NO7P"
"1270_189.16_1.5",1270,189.159654639545,1.48040168850575,"C9H20N2O2"
"1311_398.23_9",1311,398.232761383819,8.95504702727273,"C24H31NO4"
"1314_286.27_6.4",1314,286.274312021515,6.397715525,"C17H35NO2"
"1330_198.22_4.5",1330,198.221766153971,4.54377553333333,"C13H27N"
"1332_338.21_5.1",1332,338.20901235085,5.09407965,"C15H32NO5P"
"1333_144.08_2.3",1333,144.080919447461,2.27870438631579,"C10H11NO"
"1334_248.11_6",1334,248.113795043383,5.96729575625,"C11H21NOS2"
"1350_416.26_3.5",1350,416.264157440002,3.48828822465753,"C21H37NO7"
"1364_344.28_6.2",1364,344.279511262268,6.18367440166667,"C19H37NO4"
"138_174.19_3.8",138,174.185271153703,3.83084842295082,"C10H23NO"
"1384_208.13_2.5",1384,208.133094664106,2.47776720487805,"C12H17NO2"
"1394_296.07_0.6",1394,296.065991516534,0.5886312496,"C8H20NO6P"
"1407_175.12_1.5",1407,175.118965149234,1.45296909902913,"C6H14N4O2"
"1414_280.09_0.6",1414,280.091971328826,0.62496939,"C8H20NO6P"
"1419_166.09_1.6",1419,166.08626568802,1.59091724796748,"C9H11NO2"
"1489_496.34_7.4",1489,496.339917724888,7.3822103173913,"C24H50NO7P"
"149_386.33_7.2",149,386.326610443158,7.16939083870968,"C22H43NO4"
"1498_324.29_7.2",1498,324.289568584005,7.24981708550725,"C20H37NO2"
"1512_169.04_1.5",1512,169.035348604007,1.45120235909091,"C5H4N4O3"
"1514_326.23_4.5",1514,326.232459641309,4.45305856,"C18H31NO4"
"1543_137.06_1.6",1543,137.059743431676,1.55605614308943,"C8H10O3"
"1563_175.14_0.6",1563,175.144122210765,0.611494885227272,"C8H18N2O2"
"1577_234.1_4.3",1577,234.097289604869,4.28225900731707,"C10H19NOS2"
"1590_520.34_7.3",1590,520.339822624683,7.32723695982906,"C26H50NO7P"
"1612_297.1_3.3",1612,297.097952587538,3.28773680186916,"C14H18O8"
"1614_168.05_0.8",1614,168.05153760216,0.820224932878788,"C5H5N5O2"
"1636_225.09_1.2",1636,225.087085980428,1.18721126666667,"C10H12N2O4"
"1642_163.04_1.9",1642,163.038933781394,1.93109927606838,"C9H8O4"
"1648_246.24_5.5",1648,246.242907804831,5.50754025294118,"C14H31NO2"
"1655_182.08_1.5",1655,182.081184015451,1.50177905853659,"C9H11NO3"
"1686_316.28_6.8",1686,316.28466812073,6.81848947352941,"C18H37NO3"
"1690_195.07_2.1",1690,195.065298999988,2.13894350092593,"C10H12O5"
"1703_225.07_4.3",1703,225.069237929274,4.27907703076923,"C10H12N2O2S"
"1709_178.09_4.9",1709,178.089682145552,4.85259068181818,"C7H15NO2S"
"173_338.14_6.8",173,338.138733546855,6.8473413,"C20H21NO5"
"1732_162.11_1.5",1732,162.112433345139,1.51090215982906,"C7H15NO3"
"174_241.09_0.9",174,241.093382520223,0.85810192,"C9H12N4O4"
"1781_340.21_3.9",1781,340.211720674935,3.93864570434783,"C18H29NO5"
"1783_222.03_0.6",1783,222.028994382441,0.598433035274725,"C5H14NO4P"
"1793_328.25_5.3",1793,328.248504272126,5.29324216116505,"C18H35NO5"
"1811_152.07_0.8",1811,152.070563371189,0.802200143252033,"C8H11NO3"
"1812_278.25_8.3",1812,278.247834142211,8.292749685,"C18H31NO"
"1825_327.26_4.9",1825,327.264736176147,4.891521375,"C18H36N2O4"
"1833_596.31_7.3",1833,596.310670052726,7.25372216956522,"C31H47N3O6"
"1841_270.28_9.5",1841,270.279062411042,9.46654222682926,"C17H35NO"
"1843_336.33_8.7",1843,336.326860977467,8.69831847033898,"C22H43NO2"
"1876_202.18_3.2",1876,202.179841457565,3.23320285128205,"C11H23NO2"
"1932_298.27_8",1932,298.27404958877,7.99655987642277,"C18H35NO2"
"1936_270.32_8",1936,270.315570552833,8.01196642195122,"C18H39N"
"1940_304.18_1.9",1940,304.175624124024,1.93748373534483,"C15H23N5O3"
"1941_209.09_1.5",1941,209.09209482812,1.53118560531915,"C10H12N2O3"
"1948_174.15_2.4",1948,174.149091266865,2.4034924968254,"C9H19NO2"
"1966_388.12_3.1",1966,388.124465047535,3.10680106078431,"C16H21NO10"
"1982_230.1_0.7",1982,230.095703344141,0.654810542,"C9H15N3O2S"
"2002_740.46_3.5",2002,740.462685990898,3.53495432876712,"C30H57N15O7"
"2008_280.26_8",2008,280.263444481997,8.0091821,"C18H33NO"
"201_245.1_2.7",201,245.095420133193,2.65627933076923,"C10H16N2O3S"
"2054_220.12_1.9",2054,220.117874145786,1.90781711165049,"C9H17NO5"
"2057_510.36_8.2",2057,510.35578120698,8.1635058323077,"C25H52NO7P"
"2069_744.58_10.4",2069,744.584223380459,10.3573123469388,"C42H82NO7P"
"2073_372.31_6.9",2073,372.311441386108,6.9431098754717,"C21H41NO4"
"2100_258.1_2.4",2100,258.09734485853,2.36473457407407,"C11H15NO6"
"2124_172.13_8.5",2124,172.133219711323,8.50126156585366,"C9H17NO2"
"2128_353.27_7.5",2128,353.26855807931,7.51018357222222,"C21H36O4"
"2142_280.09_1.5",2142,280.091992393138,1.52214837462687,"C8H20NO6P"
"2145_296.26_7.5",2145,296.258435381137,7.54176305528455,"C18H33NO2"
"2168_144.1_1.5",2168,144.101949366241,1.5254054398374,"C7H13NO2"
"2187_242.25_8.6",2187,242.247906351723,8.55847344188034,"C15H31NO"
"219_202.13_3.8",219,202.125315274933,3.75464902352941,"C10H19NOS"
"2191_261.15_7.1",2191,261.148302579246,7.11416199315069,"C16H22O4"
"2193_258.11_1.4",2193,258.109698486508,1.365513557,"C8H20NO6P"
"2197_202.12_2.4",2197,202.123630253152,2.39317560625,"C10H19NOS"
"2245_330.26_5.5",2245,330.263827906617,5.49611606568628,"C18H35NO4"
"2248_252.23_6.3",2248,252.232189249109,6.29161093888889,"C16H29NO"
"2257_242.28_7.4",2257,242.284288070235,7.36751064117647,"C16H35N"
"2274_363.31_11.2",2274,363.305673509638,11.1958977619048,"C27H40O"
"2286_247.11_3.3",2286,247.107788086172,3.31201414084507,"C13H14N2O3"
"2287_183.09_1.4",2287,183.086061045226,1.40477215340909,"C6H14O6"
"229_212.16_3.1",229,212.164530309215,3.12091281166667,"C12H23NO3"
"2292_236.11_4",2292,236.113592530334,4.00217816,"C9H19NO7"
"2293_326.31_7.1",2293,326.305663853314,7.09729389166667,"C20H41NO3"
"2302_344.28_5.9",2302,344.279573795948,5.85053361851852,"C19H37NO4"
"2343_176.09_1",2343,176.091814914824,1.03114916771186,"C7H13NO4"
"2367_165.05_0.9",2367,165.054704341503,0.94142553089431,"C9H10O4"
"238_280.26_9",238,280.263532638648,9.04370696810345,"C18H33NO"
"2381_203.14_0.8",2381,203.139496498592,0.767159849433962,"C9H20N2O4"
"2386_280.26_7",2386,280.263600791373,7.03796643739837,"C18H33NO"
"240_183.09_0.7",240,183.086278461492,0.74251660539823,"C6H14O6"
"2417_144.1_1.5",2417,144.101952343452,1.47270278373984,"C7H13NO2"
"2424_293.16_1.9",2424,293.160666950728,1.90014647846154,"C14H20N4O3"
"2458_154.09_1.4",2458,154.086366638374,1.35354432689076,"C8H11NO2"
"247_292.26_5.3",247,292.263460432007,5.30967359285714,"C19H35NO2"
"2476_240.23_6.6",2476,240.232239417152,6.56723044830509,"C15H31NO2"
"2489_216.2_4.5",2489,216.195867026741,4.50166171788618,"C12H25NO2"
"249_343.3_5.8",249,343.295590532504,5.82905235040651,"C19H38N2O3"
"2507_294.24_6.9",2507,294.242757037632,6.92241951219512,"C18H33NO3"
"2536_475.18_0.6",2536,475.176964696813,0.643186179666666,"C29H24N4O4"
"2541_258.11_1.5",2541,258.109691075978,1.5284919152381,"C8H20NO6P"
"2546_353.27_8.4",2546,353.268439492145,8.3590495021978,"C21H36O4"
"2555_256.26_9.2",2555,256.263527846918,9.18295653495935,"C16H33NO"
"2567_377.15_2.6",2567,377.145048402074,2.61916641981982,"C17H20N4O6"
"2602_188.07_2",2602,188.070563734623,2.02423996403509,"C11H11NO3"
"2612_300.29_8.9",2612,300.289697849007,8.8820984796748,"C18H37NO2"
"2617_203.15_0.6",2617,203.150341624517,0.636589808247423,"C8H18N4O2"
"2625_163.04_3",2625,163.038999859746,3.03403654473684,"C9H8O4"
"2644_296.26_7.7",2644,296.25836429801,7.68879340650406,"C18H35NO3"
"2673_328.32_7.2",2673,328.321041743479,7.22228394166666,"C20H41NO2"
"2678_392.23_5.7",2678,392.227897954181,5.67442866666667,"C19H31N5O5"
"2687_242.1_1.7",2687,242.099864103887,1.7449229,"C9H17NO5"
"2721_163.04_2.3",2721,163.039023548168,2.27922152357724,"C9H8O4"
"2737_371.32_10.6",2737,371.315817049855,10.6125658780488,"C22H42O4"
"2741_223.11_2",2741,223.107543149276,2.03677099120879,"C11H14N2O3"
"276_260.19_3",276,260.185552143203,2.96890452477876,"C13H25NO4"
"2794_225.09_0.9",2794,225.086976371396,0.89856129,"C10H12N2O4"
"2797_356.28_6.2",2797,356.279020874343,6.15015678151261,"C20H39NO5"
"2801_318.18_3",2801,318.181029579909,2.97453724318182,"C17H23N3O3"
"2807_506.32_6.9",2807,506.323839408748,6.92674501967213,"C25H48NO7P"
"2815_315.12_3.7",2815,315.117120531148,3.65950556111111,"C14H19FN2O3S"
"2826_288.22_4.4",2826,288.216846423469,4.39084277241379,"C15H29NO4"
"2876_188.07_2.1",2876,188.070612589851,2.13755921047619,"C11H11NO3"
"2879_314.09_2.1",2879,314.086393083845,2.13643517142857,"C13H15NO8"
"2893_203.14_1.8",2893,203.139114535968,1.78209020306122,"C9H18N2O3"
"2905_355.07_2.6",2905,355.069505285177,2.55426245491803,"C15H16O11"
"2926_276.11_1.6",2926,276.107092009166,1.57514633421053,"C11H19NO8"
"2928_166.12_1.3",2928,166.122614848654,1.34249521641791,"C10H15NO"
"2931_331.15_4.6",2931,331.146776397347,4.55889016206897,"C18H22N2O2S"
"2936_344.32_6.8",2936,344.315860872518,6.84315095645161,"C20H41NO3"
"294_234.1_5.5",294,234.097343010658,5.51521201788618,"C10H19NOS2"
"2952_133.03_0.8",2952,133.031928492772,0.812420085000001,"C5H10O3S"
"2958_163.04_3.3",2958,163.039056915723,3.3098979875,"C9H8O4"
"2965_374.29_5.5",2965,374.290044219367,5.53146515675676,"C20H39NO5"
"297_182.12_1.6",297,182.11779520541,1.58576157916667,"C10H15NO2"
"2971_368.1_1.7",2971,368.097675539806,1.7261210754717,"C16H17NO9"
"2974_281.15_2.1",2974,281.149404156741,2.07829315584416,"C14H20N2O4"
"2992_396.14_3.6",2992,396.144074876554,3.63720145454545,"C22H23NO7"
"3013_163.04_2.6",3013,163.038923377368,2.5569917210084,"C9H8O4"
"3019_259.21_9",3019,259.205665348069,9.01222634421053,"C18H26O"
"3041_171.11_1.7",3041,171.11276382997,1.67016126805556,"C8H16N2O3"
"3058_144.08_2.4",3058,144.08092822835,2.41172755890411,"C10H11NO"
"3065_122.1_1.9",3065,122.096710685922,1.89075671764706,"C8H11N"
"3073_166.09_1.8",3073,166.086200187453,1.84781717317073,"C9H11NO2"
"3103_172.13_3.1",3103,172.133201847231,3.06615670731707,"C9H17NO2"
"3108_175.02_0.8",3108,175.023658180431,0.82365858825,"C6H8O7"
"3111_291.14_1.9",3111,291.14496577482,1.92193513692308,"C14H20N4O4"
"3136_490.18_0.6",3136,490.17679806788,0.642341934605263,"C22H33N3O5S"
"3137_407.35_11.1",3137,407.351802504797,11.1356790963855,"C26H46O3"
"3152_304.18_5.7",3152,304.175504110693,5.66368733170732,"C14H27NO7"
"3186_322.27_6.9",3186,322.274193615116,6.87254507894737,"C20H35NO2"
"3187_296.29_9.7",3187,296.294864760084,9.74859401559633,"C19H37NO"
"3197_177.05_5.8",3197,177.054700711878,5.77740559756098,"C10H10O4"
"320_250.09_1.5",320,250.093306777939,1.54438442898551,"C10H13N5O4"
"3213_483.3_2.9",3213,483.296023163266,2.91607122608696,"C27H40N4O5"
"3236_296.07_1.4",3236,296.06590090588,1.41770627526882,"C8H20NO6P"
"3250_148.06_0.6",3250,148.060460829634,0.626451561478261,"C5H9NO4"
"3259_218.14_3.1",3259,218.138805901191,3.13132214952381,"C10H19NO4"
"3281_298.1_2",3281,298.096773458054,2.00355502564102,"C11H15N5O3S"
"3307_304.26_8.7",3307,304.263725497663,8.70707972336449,"C20H33NO"
"3313_254.25_6.1",3313,254.247915651355,6.10723856857143,"C16H33NO2"
"3317_408.35_8.7",3317,408.346939985036,8.74539545882353,"C25H45NO3"
"3355_184.07_0.6",3355,184.073339844466,0.632395833454546,"C5H14NO4P"
"3360_226.18_4.8",3360,226.180165267592,4.84503849268293,"C13H25NO3"
"3371_188.13_2.9",3371,188.128170416607,2.87190514796748,"C9H17NO3"
"3375_260.19_3.2",3375,260.185679893653,3.15726983217391,"C13H25NO4"
"3379_251.14_1.8",3379,251.138786557956,1.77927260126582,"C13H18N2O3"
"3400_163.04_1.8",3400,163.038637245525,1.77877018319328,"C9H8O4"
"3405_265.15_2.5",3405,265.15466792084,2.49787677425743,"C14H20N2O3"
"3417_542.32_7.5",3417,542.321835055836,7.48144244851485,"C26H50NO7P"
"3425_229.15_2",3425,229.154564867147,1.98502547184466,"C11H20N2O3"
"347_233.15_1.8",347,233.149456582482,1.82264755955056,"C10H20N2O4"
"3490_182.08_1.6",3490,182.081266202435,1.61847640650406,"C9H11NO3"
"3517_288.25_6.7",3517,288.253337084762,6.70723579512195,"C16H33NO3"
"3533_294.24_5.6",3533,294.242919786557,5.59526464464286,"C18H33NO3"
"3535_170.12_2.9",3535,170.117557184483,2.8716619601626,"C9H17NO3"
"3536_217.15_2.4",3536,217.154790998385,2.39442214938272,"C10H20N2O3"
"3543_610.37_8.1",3543,610.370259005802,8.05321,"C29H56NO10P"
"3550_538.39_9.1",3550,538.386847363188,9.05415291428571,"C27H56NO7P"
"3557_271.08_1.4",3557,271.080705560876,1.38968459347826,"C6H15N4O6P"
"3562_468.34_9",3562,468.344877518507,8.98772773571429,"C23H50NO6P"
"3567_230.21_1.6",3567,230.208758219482,1.57056072142857,"C9H23N7"
"3585_352.32_8.9",3585,352.320820134322,8.9186830699187,"C22H41NO2"
"3622_181.05_2.3",3622,181.049557077721,2.29474055280899,"C9H8O4"
"3625_148.06_1.4",3625,148.060419936616,1.36831451523809,"C5H9NO4"
"3637_518.32_7.9",3637,518.32167997568,7.85463195773196,"C24H50NO7P"
"3645_583.44_9.8",3645,583.435621261597,9.75583105625,"C37H60O6"
"3650_768.59_10.6",3650,768.59026422092,10.6100908055556,"C44H82NO7P"
"3658_261.15_6.4",3658,261.148555232852,6.42195483211009,"C16H22O4"
"3659_280.26_8.9",3659,280.26352288471,8.85417167560975,"C18H35NO2"
"3666_204.12_1.6",3666,204.12314747814,1.59253432066116,"C9H17NO4"
"3673_280.26_7.3",3673,280.263420539174,7.29029098780487,"C18H33NO"
"3682_296.07_1.4",3682,296.065878837752,1.44508387634409,"C8H20NO6P"
"3685_284.29_10",3685,284.294790314505,10.0185561869919,"C18H37NO"
"3688_256.08_0.7",3688,256.081573576981,0.650174397058824,"C11H13NO6"
"3690_454.29_7.8",3690,454.292789198485,7.82257092931034,"C21H44NO7P"
"37_370.3_7.2",37,370.295247185473,7.18248075,"C21H39NO4"
"3704_283.18_2.3",3704,283.175099629114,2.2825166504065,"C12H26O7"
"3716_268.26_8.9",3716,268.263501597883,8.91353237345132,"C17H35NO2"
"3730_278.25_8.2",3730,278.247827148691,8.1834970625,"C18H31NO"
"3731_298.27_7.9",3731,298.274050953109,7.85233646747967,"C18H35NO2"
