ott_id,organism_otol_kingdom,organism_otol_phylum,organism_otol_class,organism_otol_order,organism_otol_family,organism_otol_genus,organism_otol_species,organism_otol_unique_name,organism_otol_kingdom_ott_id,organism_otol_phylum_ott_id,organism_otol_class_ott_id,organism_otol_order_ott_id,organism_otol_family_ott_id,organism_otol_genus_ott_id,organism_otol_species_ott_id,cohort,domain,infraclass,no rank,section,subclass,subfamily,subgenus,suborder,subphylum,subtribe,superfamily,superorder,tribe,cohort_ott_id,domain_ott_id,infraclass_ott_id,no rank_ott_id,section_ott_id,subclass_ott_id,subfamily_ott_id,subgenus_ott_id,suborder_ott_id,subphylum_ott_id,subtribe_ott_id,superfamily_ott_id,superorder_ott_id,tribe_ott_id,flags,rank
9996,Metazoa,Arthropoda,Insecta,Coleoptera,Carabidae,Notiophilus,,Notiophilus,691846.0,632179.0,1062253.0,865243.0,413454.0,9996.0,,Holometabola,Eukaryota,Neoptera,life,,Pterygota,Nebriinae,,Adephaga,Hexapoda,,Caraboidea,,Notiophilini,1082885.0,304358.0,815350.0,805080.0,,1048707.0,242164.0,,413458.0,568991.0,,829184.0,,281012.0,[],genus
31926,Archaeplastida,Streptophyta,Magnoliopsida,Poales,Poaceae,Triticum,Triticum aestivum,Triticum aestivum,5268475.0,916750.0,99252.0,921871.0,508090.0,31937.0,31926.0,,Eukaryota,,life,,Petrosaviidae,Pooideae,,,,Triticinae,,,Triticeae,,304358.0,,805080.0,,5308424.0,641464.0,,,,5759322.0,,,693954.0,[],species
46554,Archaeplastida,Streptophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia helioscopia,Euphorbia helioscopia,5268475.0,916750.0,99252.0,429482.0,914245.0,109494.0,46554.0,,Eukaryota,,life,Euphorbia sect. Helioscopia,,Euphorbioideae,Esula,,,,,,Euphorbieae,,304358.0,,805080.0,5147170.0,,719243.0,5147159.0,,,,,,520955.0,[],species
99252,Archaeplastida,Streptophyta,Magnoliopsida,,,,,Magnoliopsida,5268475.0,916750.0,99252.0,,,,,,Eukaryota,,life,,,,,,,,,,,,304358.0,,805080.0,,,,,,,,,,,['sibling_higher'],class
109494,Archaeplastida,Streptophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,,Euphorbia,5268475.0,916750.0,99252.0,429482.0,914245.0,109494.0,,,Eukaryota,,life,,,Euphorbioideae,,,,,,,Euphorbieae,,304358.0,,805080.0,,,719243.0,,,,,,,520955.0,[],genus
438123,Archaeplastida,Streptophyta,Magnoliopsida,Ranunculales,Papaveraceae,Papaver,,Papaver,5268475.0,916750.0,99252.0,872975.0,438092.0,438123.0,,,Eukaryota,,life,,,Papaveroideae,,,,,,,,,304358.0,,805080.0,,,5478993.0,,,,,,,,[],genus
494835,Archaeplastida,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum tuberosum,Solanum tuberosum,5268475.0,916750.0,99252.0,1050255.0,473827.0,1020645.0,494835.0,,Eukaryota,,life,,,Solanoideae,,,,,,,Solaneae,,304358.0,,805080.0,,,13867.0,,,,,,,1061420.0,['sibling_higher'],species
502001,Archaeplastida,Streptophyta,Magnoliopsida,Lamiales,Plantaginaceae,Veronica,Veronica hederifolia,Veronica hederifolia,5268475.0,916750.0,99252.0,23736.0,1041309.0,507032.0,502001.0,,Eukaryota,,life,,,,Cochlidiosperma,,,,,,Veroniceae,,304358.0,,805080.0,,,,4724590.0,,,,,,705593.0,[],species
507032,Archaeplastida,Streptophyta,Magnoliopsida,Lamiales,Plantaginaceae,Veronica,,Veronica,5268475.0,916750.0,99252.0,23736.0,1041309.0,507032.0,,,Eukaryota,,life,,,,,,,,,,Veroniceae,,304358.0,,805080.0,,,,,,,,,,705593.0,[],genus
508090,Archaeplastida,Streptophyta,Magnoliopsida,Poales,Poaceae,,,Poaceae,5268475.0,916750.0,99252.0,921871.0,508090.0,,,,Eukaryota,,life,,Petrosaviidae,,,,,,,,,,304358.0,,805080.0,,5308424.0,,,,,,,,,[],family
510850,Archaeplastida,Streptophyta,Magnoliopsida,Poales,Poaceae,Poa,Poa annua,Poa annua,5268475.0,916750.0,99252.0,921871.0,508090.0,985636.0,510850.0,,Eukaryota,,life,,Petrosaviidae,Pooideae,,,,Poinae,,,Poeae,,304358.0,,805080.0,,5308424.0,641464.0,,,,837414.0,,,415737.0,['sibling_higher'],species
518943,Metazoa,Mollusca,Gastropoda,Stylommatophora,Limacidae,Deroceras,,Deroceras,691846.0,802117.0,409995.0,844843.0,969371.0,518943.0,,,Eukaryota,Pulmonata,life,,Heterobranchia,,,Sigmurethra,,,Limacoidea,,,,304358.0,2914936.0,805080.0,,178260.0,,,329706.0,,,955843.0,,,[],genus
625399,Archaeplastida,Streptophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Cerastium,Cerastium fontanum,Cerastium fontanum,5268475.0,916750.0,99252.0,216628.0,317818.0,842191.0,625399.0,,Eukaryota,,life,,,,,,,,,,Alsineae,,304358.0,,805080.0,,,,,,,,,,5920000.0,[],species
661122,Metazoa,Mollusca,Gastropoda,Stylommatophora,Arionidae,Arion,,Arion,691846.0,802117.0,409995.0,844843.0,1025557.0,661122.0,,,Eukaryota,Pulmonata,life,,Heterobranchia,,,Sigmurethra,,,Arionoidea,,,,304358.0,2914936.0,805080.0,,178260.0,,,329706.0,,,955837.0,,,[],genus
793343,Archaeplastida,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Pterygota (genus in kingdom Archaeplastida),,Pterygota (genus in kingdom Archaeplastida),5268475.0,916750.0,99252.0,229284.0,279960.0,793343.0,,,Eukaryota,,life,,,Sterculioideae,,,,,,,,,304358.0,,805080.0,,,996482.0,,,,,,,,[],genus
833644,Archaeplastida,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Capsella,Capsella bursa-pastoris,Capsella bursa-pastoris,5268475.0,916750.0,99252.0,8844.0,309271.0,833648.0,833644.0,,Eukaryota,,life,,,,,,,,,,Camelineae,,304358.0,,805080.0,,,,,,,,,,504672.0,[],species
865243,Metazoa,Arthropoda,Insecta,Coleoptera,,,,Coleoptera,691846.0,632179.0,1062253.0,865243.0,,,,Holometabola,Eukaryota,Neoptera,life,,Pterygota,,,,Hexapoda,,,,,1082885.0,304358.0,815350.0,805080.0,,1048707.0,,,,568991.0,,,,,['sibling_higher'],order
941620,Metazoa,Annelida,,,,,,Annelida,691846.0,941620.0,,,,,,,Eukaryota,,life,,,,,,,,,,,,304358.0,,805080.0,,,,,,,,,,,[],phylum
991883,Archaeplastida,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Cynara,,Cynara,5268475.0,916750.0,99252.0,1042120.0,46248.0,991883.0,,,Eukaryota,,life,,,Carduoideae,,,,Carduinae,,campanulids,Cardueae,,304358.0,,805080.0,,,527107.0,,,,627940.0,,596121.0,557760.0,[],genus
